tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;;;;;;;;;;;;;;;;;;;;
2015-2276;Zagreb;Hard;28;A;20150202;13;104571;;;Marcos Baghdatis;R;183;CYP;29.6290212183;67;738;103333;1;;Ivo Karlovic;R;208;CRO;35.9288158795;25;1400;3-6 7-6(5) 7-6(7);3;R16;117;11;3;97;59;51;24;16;0;1;26;2;102;85;68;11;17;1;1;;;;;;;;;;;;;;;;;;;;
2014-418;Washington;Hard;48;A;20140728;39;105449;;;Steve Johnson;R;188;USA;24.59137577;68;766;103333;9;;Ivo Karlovic;R;208;CRO;35.4113620808;31;1180;3-6 7-6(4) 7-6(7);3;R16;120;7;1;97;60;50;24;17;1;3;27;3;91;57;51;23;16;0;0;;;;;;;;;;;;;;;;;;;;
2015-418;Washington;Hard;48;A;20150803;26;105238;;;Alexandr Dolgopolov;R;180;UKR;26.7351129363;73;670;103333;10;;Ivo Karlovic;R;208;CRO;36.4271047228;23;1495;6-4 7-6(2);3;R32;;2;0;67;49;37;14;11;2;2;18;7;66;39;34;11;11;1;2;;;;;;;;;;;;;;;;;;;;
2015-440;s-Hertogenbosch;Grass;28;A;20150608;21;104898;;WC;Robin Haase;R;190;NED;28.1724845996;83;611;103333;5;;Ivo Karlovic;R;208;CRO;36.2737850787;27;1250;6-7(4) 6-4 7-6(3);3;QF;;10;0;114;78;57;27;17;8;8;24;4;94;53;44;30;17;0;1;;;;;;;;;;;;;;;;;;;;
2014-308;Munich;Clay;28;A;20140428;1;104460;;WC;Dustin Brown;R;196;GER;29.3853524983;86;620;103333;;;Ivo Karlovic;R;208;CRO;35.1622176591;53;902;7-6(4) 7-6(5);3;R32;87;3;1;74;49;40;19;12;1;1;11;0;80;55;42;17;12;1;1;;;;;;;;;;;;;;;;;;;;
2014-717;Houston;Clay;28;A;20140407;6;106058;;;Jack Sock;R;185;USA;21.5331964408;94;593;103333;8;;Ivo Karlovic;R;208;CRO;35.1047227926;52;898;6-1 6-4;3;R32;56;3;4;44;31;29;5;9;1;2;8;2;46;24;19;6;8;2;6;;;;;;;;;;;;;;;;;;;;
2013-499;Delray Beach;Hard;32;A;20130225;19;104273;;;Edouard Roger Vasselin;R;188;FRA;29.2457221081;105;507;103333;;;Ivo Karlovic;R;208;CRO;33.993155373;150;361;6-4 7-5;3;R16;81;2;3;62;42;35;10;11;0;0;15;5;71;43;34;12;11;6;8;;;;;;;;;;;;;;;;;;;;
2014-540;Wimbledon;Grass;128;G;20140623;61;104433;;LL;Frank Dancevic;R;185;CAN;29.7385352498;107;544;103333;29;;Ivo Karlovic;R;208;CRO;35.3155373032;32;1181;6-4 7-6(5) 7-6(4);5;R128;113;6;0;98;66;56;23;17;0;0;32;3;105;86;68;8;17;5;6;;;;;;;;;;;;;;;;;;;;
2014-451;Doha;Hard;32;A;20131230;19;104460;;Q;Dustin Brown;R;196;GER;29.0595482546;111;506;103333;;;Ivo Karlovic;R;208;CRO;34.8364134155;78;647;3-6 7-6(13) 6-4;3;R16;109;4;4;91;61;47;18;15;0;2;21;3;110;80;61;13;16;4;6;;;;;;;;;;;;;;;;;;;;
2012-717;Houston;Clay;28;A;20120409;10;104035;;;Bobby Reynolds;R;183;USA;29.7303216975;116;486;103333;8;;Ivo Karlovic;R;208;CRO;33.1115674196;62;770;7-6(5) 2-6 6-3;3;R32;137;5;4;97;63;44;20;15;2;5;19;4;89;53;38;21;14;4;6;;;;;;;;;;;;;;;;;;;;
2013-6116;Atlanta;Hard;28;A;20130722;12;105051;;Q;Matthew Ebden;R;188;AUS;25.6536618754;117;483;103333;;;Ivo Karlovic;R;208;CRO;34.3956194387;87;605;6-2 RET;3;R32;27;6;3;19;8;8;8;4;0;0;4;5;22;12;9;2;4;5;7;;;;;;;;;;;;;;;;;;;;
2015-337;Vienna;Hard;32;A;20151019;27;105208;;;Ernests Gulbis;R;190;LAT;27.1348391513;117;475;103333;7;;Ivo Karlovic;R;208;CRO;36.6379192334;20;1575;7-6(4) 7-6(5);3;QF;;12;2;74;53;46;15;12;5;5;19;4;77;53;46;13;12;3;3;;;;;;;;;;;;;;;;;;;;
2014-747;Beijing;Hard;32;A;20140929;15;105376;;Q;Peter Gojowczyk;R;185;GER;25.2073921971;122;458;103333;;;Ivo Karlovic;R;208;CRO;35.5838466804;30;1195;6-4 2-6 7-5;3;R32;112;10;5;93;49;38;21;15;2;5;17;4;82;46;36;19;15;6;9;;;;;;;;;;;;;;;;;;;;
2014-6718;Bogota;Hard;28;A;20140714;27;106071;;WC;Bernard Tomic;R;193;AUS;21.7275838467;124;496;103333;2;;Ivo Karlovic;R;208;CRO;35.3730321697;29;1280;7-6(5) 3-6 7-6(4);3;F;133;11;2;101;69;55;20;16;4;5;39;7;114;74;65;19;17;5;5;;;;;;;;;;;;;;;;;;;;
2013-580;Australian Open;Hard;128;G;20130114;18;105065;;LL;Tim Smyczek;R;175;USA;25.0431211499;125;448;103333;;;Ivo Karlovic;R;208;CRO;33.87816564;103;536;6-4 7-6(5) 7-5;5;R128;138;4;2;104;75;59;16;17;3;3;16;4;110;69;51;21;17;5;7;;;;;;;;;;;;;;;;;;;;
